"train_no","scheduled_dt","route","carrier","eq_code","set_no","dep_delay","arr_delay","station","country","latitude","longitude","zoom","hr","group","assistance","duty","premier","plus","standard","wheelchair_companion","wheelchair","senior","adult","youth","child","guide_dog","00~02","03~12","13~19","20~29","30~39","40~49","50~59","60~69","70~79","80~89","90~99","100+","eu_count","noneu_count","passeneger_counts","child_meal","dairy_free_meal","diabetic_meal","gluten_free_meal","kosher_meal","low_fat_meal","low_salt_meal","halal_meal","vegan_meal","vegetarian_meal","standard_meal"
"9039",2024-12-24,FRPNO-GBSPX,Eurostar,E320,"4001-4002",-1,-4,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",15,10,0,0,23,82,488,0,0,28,426,87,52,0,1,51,64,186,114,99,53,41,13,4,0,0,164,462,593,0,0,0,3,0,0,0,2,0,2,98
"9040",2024-12-24,GBSPX-FRPNO,Eurostar,E320,"4021-4022",-1,3,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",16,0,0,0,15,116,576,3,3,7,562,106,38,0,2,51,86,190,147,122,88,31,5,1,0,0,332,391,713,0,0,0,0,0,0,0,2,0,3,132
"9043",2024-12-24,FRPNO-GBSPX,Eurostar,E320,"4019-4020",28,24,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",16,20,0,0,23,103,632,1,1,21,590,96,53,0,1,67,86,248,164,113,90,48,10,3,1,0,197,634,760,0,0,0,1,0,0,0,4,0,2,121
"9047",2024-12-24,FRPNO-GBSPX,Eurostar,E300,"3007-3008",26,28,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",17,58,0,0,21,57,507,2,2,21,457,64,45,2,1,55,55,174,103,84,63,47,10,2,0,0,150,444,589,0,0,0,0,0,0,0,1,0,1,80
"9080",2024-12-24,GBSPX-FRPNO,Eurostar,E320,"4005-4006",-1,-1,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",6,0,0,1,3,101,577,0,0,14,481,142,44,0,2,55,94,261,178,83,75,22,10,0,0,0,303,477,681,3,0,0,1,0,0,0,2,0,2,96
"9106",2024-12-24,GBSPX-NLAMA,Eurostar,E320,"4011-4012",68,67,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",6,0,0,0,4,111,574,1,1,10,515,135,30,1,1,50,81,243,183,99,67,21,5,1,0,0,366,385,691,3,0,0,0,0,0,0,0,0,3,111
"9110",2024-12-24,GBSPX-BEBMI,Eurostar,E300,"3015-3016",0,0,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",7,0,0,0,35,76,502,0,0,14,424,137,38,0,1,48,90,181,126,72,64,25,2,0,0,0,314,295,613,4,1,0,0,0,0,0,1,0,4,101
"9113",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E320,"4027-4028",1,3,Lille Europe,France,"50.639224","3.075796","16",8,0,0,0,6,6,196,0,0,3,120,73,12,0,2,14,42,60,26,26,21,4,1,0,0,0,180,16,208,0,0,0,0,0,0,0,0,0,0,12
"9113",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E320,"4027-4028",1,3,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",7,0,0,1,0,27,377,0,0,4,270,116,14,0,0,21,82,120,78,72,39,6,1,0,0,0,344,75,404,0,0,0,0,0,0,0,2,0,0,25
"9116",2024-12-24,GBSPX-BEBMI,Eurostar,E300,"3229-3230",0,-2,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",9,11,0,0,8,115,512,0,0,27,431,132,45,0,1,54,77,119,114,118,96,35,8,1,0,0,403,220,635,1,1,0,1,0,0,0,0,2,1,117
